Record Length,2500,Points,-37.00000048E-3,672.000050545E-3,,Record Length,2500,Points,-37.00000048E-3,0.0,
Sample Interval,19.9999995E-6,s,-36.97999939E-3,672.000050545E-3,,Sample Interval,19.9999995E-6,s,-36.97999939E-3,-79.999998212E-3,
Trigger Point,1.8500002E3,Samples,-36.96000203E-3,680.000007153E-3,,Trigger Point,1.8500002E3,Samples,-36.96000203E-3,0.0,
,,,-36.94000095E-3,672.000050545E-3,,,,,-36.94000095E-3,0.0,
,,,-36.91999987E-3,680.000007153E-3,,,,,-36.91999987E-3,0.0,
,,,-36.89999878E-3,680.000007153E-3,,,,,-36.89999878E-3,0.0,
Source,CH1,,-36.88000143E-3,680.000007153E-3,,Source,CH2,,-36.88000143E-3,0.0,
Vertical Units,Volts,,-36.86000034E-3,680.000007153E-3,,Vertical Units,Volts,,-36.86000034E-3,79.999998212E-3,
Vertical Scale,200.00000950E-3,,-36.83999926E-3,680.000007153E-3,,Vertical Scale,2.0000000,,-36.83999926E-3,159.99999642E-3,
Vertical Offset,0,,-36.82000190E-3,688.000023365E-3,,Vertical Offset,0,,-36.82000190E-3,159.99999642E-3,
Horizontal Units,s,,-36.80000082E-3,688.000023365E-3,,Horizontal Units,s,,-36.80000082E-3,159.99999642E-3,
Horizontal Scale,4.99999987E-3,,-36.77999973E-3,688.000023365E-3,,Horizontal Scale,4.99999987E-3,,-36.77999973E-3,0.0,
Pt Fmt,Y,,-36.75999865E-3,688.000023365E-3,,Pt Fmt,Y,,-36.75999865E-3,0.0,
Yzero,-2.0000000,,-36.74000129E-3,688.000023365E-3,,Yzero,-1.6800000,,-36.74000129E-3,0.0,
Probe Atten,1.000000,,-36.72000021E-3,688.000023365E-3,,Probe Atten,1.000000,,-36.72000021E-3,0.0,
,,,-36.69999912E-3,688.000023365E-3,,,,,-36.69999912E-3,0.0,
